text,category
Придбав фрукти та овочі на ринку,Їжа
Оплатив бізнес-ланч у кав'ярні,Їжа
Замовив піцу,Їжа
"Придбав хліб та бакалію в ""АТБ""",Їжа
Вечеря вдома,Їжа
Морозиво та лимонад,Їжа
"Чек з ""Сільпо"" (продукти)",Їжа
Придбав готову страву,Їжа
Сніданок,Їжа
М'ясо та риба,Їжа
Бензин А-95 на WOG,Транспорт
Квиток на поїзд Інтерсіті,Транспорт
Поїздка на Bolt,Транспорт
Проїзний квиток на місяць,Транспорт
Мийка автомобіля,Транспорт
Ремонт колеса,Транспорт
Квиток на автобус,Транспорт
Паркування на 2 години,Транспорт
Таксі додому,Транспорт
Заміна мастила на СТО,Транспорт
Оплата електроенергії,Комунальні послуги
Рахунок за газ,Комунальні послуги
Квартплата,Комунальні послуги
Інтернет від Kyivstar,Комунальні послуги
Послуги ОСББ,Комунальні послуги
Вивіз сміття,Комунальні послуги
Опалення,Комунальні послуги
Водопостачання,Комунальні послуги
Кабельне ТБ,Комунальні послуги
Обслуговування будинку,Комунальні послуги
Підписка на Netflix,Розваги
Квиток у кіно,Розваги
Придбав гру в Steam,Розваги
Абонемент у спортзал,Розваги
Квиток на концерт,Розваги
Квиток у театр,Розваги
Прокат лиж,Розваги
Атракціони,Розваги
Підписка на музичний сервіс,Розваги
Вхідний квиток на виставку,Розваги
Нові джинси,Покупки
Придбав фен,Покупки
Побутова хімія,Покупки
Замовлення на Rozetka (посуд),Покупки
Косметика,Покупки
Одяг,Покупки
Товари для дому,Покупки
Взуття,Покупки
Ремонт одягу,Покупки
Канцелярські товари,Покупки
Ліки в аптеці,Здоров'я
Прийом у стоматолога,Здоров'я
Аналізи крові,Здоров'я
Придбав вітаміни,Здоров'я
Оплата консультації лікаря,Здоров'я
Масаж (лікувальний),Здоров'я
Обстеження УЗД,Здоров'я
Медична довідка,Здоров'я
Оплата процедур,Здоров'я
Придбав ортопедичні устілки,Здоров'я
Оплата курсу програмування,Освіта
Навчання в університеті,Освіта
Репетитор з фізики,Освіта
Придбав підручник,Освіта
Курс підвищення кваліфікації,Освіта
Уроки вокалу,Освіта
Семінар з лідерства,Освіта
Курси англійської,Освіта
Оплата за іспит,Освіта
Підписка на навчальний портал,Освіта
Придбав сир та йогурти у Novus,Їжа
"Оплатив рахунок у ресторані ""Мамамія""",Їжа
Замовлення піци на сайті,Їжа
Кава та сендвіч на заправці,Їжа
"Бакалія (рис, гречка)",Їжа
Чек з ринку (овочі),Їжа
Морозиво та лимонад,Їжа
Придбав готові обіди,Їжа
Риба та морепродукти,Їжа
Торт та солодощі для свята,Їжа
Заправив повний бак (дизель),Транспорт
Квиток на автобус до Житомира,Транспорт
Поїздка на Uber до центру,Транспорт
Паркувальний талон,Транспорт
Шиномонтаж,Транспорт
Ремонт бампера,Транспорт
Оренда самоката Bolt,Транспорт
Авіаквиток,Транспорт
Миття автомобіля,Транспорт
Техогляд,Транспорт
Оплата гарячої води,Комунальні послуги
Внесок на ОСББ,Комунальні послуги
Рахунок за газ (за травень),Комунальні послуги
Світло по лічильнику,Комунальні послуги
Інтернет та ТБ,Комунальні послуги
Квартплата,Комунальні послуги
Обслуговування будинку,Комунальні послуги
Вивіз сміття (річний внесок),Комунальні послуги
Кабельне ТБ,Комунальні послуги
Абонемент у басейн,Розваги
Квиток на футбольний матч,Розваги
Придбав квитки в кінотеатр,Розваги
Прокат сноуборда,Розваги
Підписка на стрімінг,Розваги
Придбав настільну гру,Розваги
Вхідний квиток у клуб,Розваги
Донат стримеру,Розваги
Квиток на концерт,Розваги
Відвідування зоопарку,Розваги
Придбав куртку в H&M,Покупки
Ноутбук,Покупки
Пральна машина,Покупки
Замовлення на AliExpress (товари),Покупки
Взуття (кросівки),Покупки
Посуд,Покупки
Меблі (стілець),Покупки
Дитячі іграшки,Покупки
Парфуми,Покупки
Товари для дому (подушки),Покупки
Ліки від алергії,Здоров'я
Прийом у ЛОРа,Здоров'я
Аналізи (пакет),Здоров'я
Стоматологічні послуги,Здоров'я
Придбав вітаміни та добавки,Здоров'я
Масаж (10 сеансів),Здоров'я
Обстеження,Здоров'я
Медична довідка,Здоров'я
Окуляри,Здоров'я
Сеанс психотерапії,Здоров'я
Оплата навчання в університеті,Освіта
Курс англійської,Освіта
Репетитор з математики,Освіта
Придбав книгу (навчальна література),Освіта
Семінар з бізнесу,Освіта
Підписка на Coursera,Освіта
Уроки водіння,Освіта
Канцтовари для школи,Освіта
Оплата за іспит TOEFL,Освіта
Курс підвищення кваліфікації,Освіта
Придбав хліб та батон,Їжа
"Обід в ""Пузатій хаті""",Їжа
Продукти в АТБ,Їжа
Кава з собою,Їжа
Вечеря вдома (інгредієнти),Їжа
"Молоко, сир, сметана",Їжа
Замовлення з Glovo,Їжа
Яйця та ковбаса,Їжа
Придбав фруктів на ринку,Їжа
Заплатив за піцу,Їжа
"Сніданок в ""Львівських круасанах""",Їжа
Кулінарія в Сільпо,Їжа
М'ясо та риба,Їжа
Солодощі та чай,Їжа
Вода і снеки на заправці,Їжа
Чек з супермаркету Novus,Їжа
"Бакалія (крупи, макарони)",Їжа
Оплата в McDonald's,Їжа
Морозиво,Їжа
Суші з доставкою,Їжа
Тортик на десерт,Їжа
Салати на обід,Їжа
Овочі та зелень,Їжа
Взяв хот-дог,Їжа
Напої,Їжа
Вино та сир,Їжа
Готова їжа,Їжа
Закупка на тиждень,Їжа
Оплатив рахунок в пабі,Їжа
Шоколад та цукерки,Їжа
Оплата в VARUS,Їжа
Придбав сік,Їжа
Чай та печиво,Їжа
Фермерські продукти,Їжа
Соуси та приправи,Їжа
Хліб та випічка,Їжа
Обідня перерва,Їжа
Пельмені та вареники,Їжа
Замовив WOK,Їжа
"Оплатив в ""Фора""",Їжа
Придбав дитяче харчування,Їжа
Закуски до пива,Їжа
Пакетований сік,Їжа
Сімейний обід,Їжа
Риба на гриль,Їжа
Придбав томати,Їжа
Сало,Їжа
Свіжа випічка,Їжа
Оплата в кондитерській,Їжа
Оплатив рахунок,Їжа
М'ясні делікатеси,Їжа
Придбав алкоголь,Їжа
Замовлення через Zakaz.ua,Їжа
Придбав спеції,Їжа
Свіжий хліб,Їжа
Набір для пікніка,Їжа
Солодка вода,Їжа
Оплата в Ашан,Їжа
Придбав сухпайок,Їжа
Банани,Їжа
Придбав чіпси,Їжа
Оплатив вечерю,Їжа
На ринку,Їжа
Придбав каву,Їжа
Кавові зерна,Їжа
Продуктовий магазин,Їжа
Придбав сухі сніданки,Їжа
Оплатив обід в їдальні,Їжа
Вечеря в супермаркеті METRO,Їжа
Взяв пачку макаронів,Їжа
Кулінарія,Їжа
Вечеря вдома,Їжа
Придбав ковбасу та сир,Їжа
Оплатив піцу з Domino's,Їжа
"Кава в ""Арома Кава""",Їжа
Смаколики,Їжа
Чек з Good Wine (їжа),Їжа
Придбав інгредієнти для борщу,Їжа
Замовлення з Sushi Master,Їжа
Оплатив рахунок,Їжа
Закупка продуктів,Їжа
"Набір суші з ресторану ""Evrasia""",Їжа
"Придбав хліб і молоко в ""Сільпо""",Їжа
"Вечеря в кафе ""Пузата Хата""",Їжа
Закупка м'яса та риби,Їжа
"Кофе та тістечко в ""Aroma Kava""",Їжа
Замовив піцу з доставкою,Їжа
Фрукти та овочі на ринку,Їжа
Придбав сир та йогурти у Novus,Їжа
"Оплатив обід у ресторані ""Мамамія""",Їжа
Замовлення піци на сайті,Їжа
Кава та сендвіч на заправці,Їжа
"Бакалія (рис, гречка)",Їжа
Чек з ринку (овочі),Їжа
Морозиво та лимонад,Їжа
Придбав готові обіди,Їжа
Риба та морепродукти,Їжа
Торт та солодощі для свята,Їжа
"Придбав хліб і молоко в ""Сільпо""",Їжа
Замовлення піци з доставкою,Їжа
Придбав овочі,Їжа
Сніданок,Їжа
Продукти,Їжа
Обід,Їжа
Вечеря,Їжа
Чек з АТБ,Їжа
Ковбаса,Їжа
Напої,Їжа
Десерт,Їжа
Перекус,Їжа
Заправив повний бак (ДП),Транспорт
Квиток на поїзд Київ-Львів,Транспорт
Поїздка на Bolt,Транспорт
Парковка в центрі міста,Транспорт
Авіаквиток до Варшави,Транспорт
Проїзд в метро,Транспорт
Поповнення транспортної картки,Транспорт
Штраф за неправильне паркування,Транспорт
Технічне обслуговування авто,Транспорт
Придбав зимову гуму,Транспорт
Заміна мастила та фільтрів,Транспорт
Квиток на маршрутку №25,Транспорт
Поїздка на Uklon,Транспорт
Оплата платної дороги,Транспорт
Оренда самоката,Транспорт
Мийка машини,Транспорт
Страхування ОСЦПВ,Транспорт
Пальне на АЗС WOG,Транспорт
Проїзд у трамваї,Транспорт
Ремонт ходової,Транспорт
Придбав новий акумулятор,Транспорт
Таксі до аеропорту,Транспорт
Встановлення сигналізації,Транспорт
Квиток на електричку,Транспорт
Проїзний на місяць,Транспорт
Оренда авто,Транспорт
Бензин на ОККО,Транспорт
Перевезення меблів (вантажне таксі),Транспорт
Ремонт автомобіля,Транспорт
Оплата паркінгу,Транспорт
Квиток на автобус,Транспорт
Поїздка на BlaBlaCar,Транспорт
Обслуговування на СТО,Транспорт
Прокат велосипеда,Транспорт
Техогляд авто,Транспорт
Шиномонтаж,Транспорт
Пальне для генератора,Транспорт
Квиток на пором,Транспорт
Поповнення картки Київпастранс,Транспорт
Ремонт колеса,Транспорт
Таксі з вокзалу,Транспорт
Дорожній збір,Транспорт
Проїзд,Транспорт
Придбав автохімію,Транспорт
Квитки на інтерсіті,Транспорт
Оплата за перепустку,Транспорт
Ремонт двигуна,Транспорт
Поїздка додому,Транспорт
Обслуговування мотоцикла,Транспорт
Послуги евакуатора,Транспорт
Квиток у приміський потяг,Транспорт
Пальне,Транспорт
Аренда електросамоката,Транспорт
Таксі на роботу,Транспорт
Покупка нових шин,Транспорт
Проїзд у тролейбусі,Транспорт
Придбав аксесуари для авто,Транспорт
Страхування,Транспорт
Паркувальний талон,Транспорт
Мийка,Транспорт
Квиток на літак,Транспорт
Заправив газом,Транспорт
Поїздка на Raketa Taxi,Транспорт
Заміна свічок,Транспорт
Оплата проїзду,Транспорт
Оренда вантажівки,Транспорт
Поїздка на дачу,Транспорт
Квиток,Транспорт
Оплатив подорож,Транспорт
Послуги автомайстерні,Транспорт
Проїзд в таксi Uklon,Транспорт
Квиток на поїзд до Одеси,Транспорт
Оплата бензину А-92,Транспорт
Аренда самоката,Транспорт
Ремонт ходової,Транспорт
Електричка до Вишгорода,Транспорт
Каршерінг,Транспорт
Ремонт шини,Транспорт
Штраф за перевищення,Транспорт
Придбав проїзний,Транспорт
Мийка самообслуговування,Транспорт
Поїздка на Bolt,Транспорт
Авіабілет,Транспорт
Заміна мастила,Транспорт
Квиток у громадському транспорті,Транспорт
Бензин А-95 на АЗС ОККО,Транспорт
Квиток на поїзд Інтерсіті,Транспорт
Поїздка на Uber (оплачено карткою),Транспорт
Проїзний квиток на місяць,Транспорт
Заміна мастила на СТО,Транспорт
Авіаквиток Київ - Берлін,Транспорт
Штраф за перевищення швидкості,Транспорт
Заправив повний бак (дизель),Транспорт
Квиток на автобус до Житомира,Транспорт
Поїздка на Uber до центру,Транспорт
Паркувальний талон,Транспорт
Шиномонтаж,Транспорт
Ремонт бампера,Транспорт
Оренда самоката Bolt,Транспорт
Авіаквиток,Транспорт
Миття автомобіля,Транспорт
Техогляд,Транспорт
Електричка,Транспорт
Проїзний,Транспорт
Ремонт авто,Транспорт
Мийка,Транспорт
Авіапереліт,Транспорт
Громадський транспорт,Транспорт
Квиток на потяг,Транспорт
Паркування,Транспорт
Пальне,Транспорт
Проїзд,Транспорт
Поїздка,Транспорт
Таксі,Транспорт
Автобус,Транспорт
Оплата за світло,Комунальні послуги
Квартплата за листопад,Комунальні послуги
Рахунок за гарячу воду,Комунальні послуги
Оплата газу (Нафтогаз),Комунальні послуги
Вивіз сміття,Комунальні послуги
Внесок на ОСББ,Комунальні послуги
Рахунки за електроенергію,Комунальні послуги
Інтернет та ТБ,Комунальні послуги
Водопостачання та водовідведення,Комунальні послуги
Оплата опалення,Комунальні послуги
Внесок за утримання будинку,Комунальні послуги
Фонд капітального ремонту,Комунальні послуги
Електроенергія по лічильнику,Комунальні послуги
Оплата за тепло,Комунальні послуги
Платіж за інтернет «Київстар»,Комунальні послуги
Обслуговування домофону,Комунальні послуги
Послуги ЖЕК,Комунальні послуги
Рахунок за воду,Комунальні послуги
Обслуговування будинку,Комунальні послуги
Газ за вересень,Комунальні послуги
Опалення,Комунальні послуги
Внесок у кооператив,Комунальні послуги
Оплата послуг управляючої компанії,Комунальні послуги
Обслуговування ліфта,Комунальні послуги
Рахунок за телефон та інтернет,Комунальні послуги
Заплатив за світло,Комунальні послуги
Регулярний платіж за ЖКП,Комунальні послуги
Холодна вода,Комунальні послуги
