text,category
кіно,Розваги
оплата газу,Комунальні послуги
замовлення доставки,Їжа
клуб,Розваги
театр,Розваги
оплата курсів,Освіта
оплата семінару,Освіта
квиток на поїзд,Транспорт
клуб,Розваги
кава,Їжа
таксі,Транспорт
кіно,Розваги
метро,Транспорт
купив техніку,Покупки
оплата телефону,Комунальні послуги
купив вітаміни,Здоров'я
ліки,Здоров'я
театр,Розваги
бензин,Транспорт
квиток на поїзд,Транспорт
сніданок у кафе,Їжа
оплата інтернет,Комунальні послуги
лікування зубів,Здоров'я
репетитор,Освіта
купив техніку,Покупки
репетитор,Освіта
обід у ресторані,Їжа
покупка зошитів,Освіта
бензин,Транспорт
купив одяг,Покупки
бензин,Транспорт
сніданок у кафе,Їжа
масаж,Здоров'я
таксі,Транспорт
масаж,Здоров'я
шопінг,Покупки
оплата курсів,Освіта
поїздка на вихідні,Розваги
масаж,Здоров'я
замовлення доставки,Їжа
лікування зубів,Здоров'я
таксі,Транспорт
лікування зубів,Здоров'я
оплата семінару,Освіта
оплата семінару,Освіта
онлайн-курс,Освіта
квиток на поїзд,Транспорт
метро,Транспорт
оплата семінару,Освіта
поїздка на автомобілі,Транспорт
концерт,Розваги
ліки,Здоров'я
поїздка на автомобілі,Транспорт
замовлення доставки,Їжа
купив підручник,Освіта
поїздка на автомобілі,Транспорт
аксесуари,Покупки
покупка продуктів,Їжа
купив вітаміни,Здоров'я
вечеря,Їжа
оплата електроенергії,Комунальні послуги
купив техніку,Покупки
таксі,Транспорт
таксі,Транспорт
ліки,Здоров'я
аптека,Здоров'я
кава,Їжа
ліки,Здоров'я
візит до лікаря,Здоров'я
оплата газу,Комунальні послуги
репетитор,Освіта
покупка продуктів,Їжа
обід у ресторані,Їжа
купівля навчальних матеріалів,Освіта
аксесуари,Покупки
клуб,Розваги
вечеря,Їжа
оплата інтернет,Комунальні послуги
бензин,Транспорт
поїздка на вихідні,Розваги
вода,Комунальні послуги
кіно,Розваги
аксесуари,Покупки
покупка продуктів,Їжа
вистава,Розваги
замовлення доставки,Їжа
репетитор,Освіта
бензин,Транспорт
кіно,Розваги
вода,Комунальні послуги
вистава,Розваги
оплата газу,Комунальні послуги
шопінг,Покупки
метро,Транспорт
оплата електроенергії,Комунальні послуги
оплата електроенергії,Комунальні послуги
обід у ресторані,Їжа
замовлення доставки,Їжа
лікування зубів,Здоров'я
поїздка на автомобілі,Транспорт
метро,Транспорт
онлайн-курс,Освіта
клуб,Розваги
кава,Їжа
обід у ресторані,Їжа
оплата інтернет,Комунальні послуги
лікування зубів,Здоров'я
таксі,Транспорт
візит до лікаря,Здоров'я
оплата газу,Комунальні послуги
клуб,Розваги
обід у ресторані,Їжа
купівля навчальних матеріалів,Освіта
вода,Комунальні послуги
лікування зубів,Здоров'я
масаж,Здоров'я
купив вітаміни,Здоров'я
нові кросівки,Покупки
аптека,Здоров'я
покупка зошитів,Освіта
кіно,Розваги
покупка зошитів,Освіта
аксесуари,Покупки
поїздка на вихідні,Розваги
автобус,Транспорт
клуб,Розваги
поїздка на автомобілі,Транспорт
купив підручник,Освіта
поїздка на автомобілі,Транспорт
візит до лікаря,Здоров'я
кіно,Розваги
концерт,Розваги
ліки,Здоров'я
сніданок у кафе,Їжа
замовлення доставки,Їжа
нові кросівки,Покупки
репетитор,Освіта
ліки,Здоров'я
шопінг,Покупки
шопінг,Покупки
концерт,Розваги
оплата електроенергії,Комунальні послуги
метро,Транспорт
поїздка на вихідні,Розваги
обід у ресторані,Їжа
квиток на поїзд,Транспорт
оплата семінару,Освіта
оплата електроенергії,Комунальні послуги
покупка продуктів,Їжа
нові кросівки,Покупки
масаж,Здоров'я
оплата газу,Комунальні послуги
масаж,Здоров'я
вистава,Розваги
купив техніку,Покупки
покупка книги,Покупки
купив підручник,Освіта
оплата інтернет,Комунальні послуги
масаж,Здоров'я
покупка зошитів,Освіта
масаж,Здоров'я
нові кросівки,Покупки
квиток на поїзд,Транспорт
оплата інтернет,Комунальні послуги
обід у ресторані,Їжа
кава,Їжа
поїздка на вихідні,Розваги
оплата інтернет,Комунальні послуги
аксесуари,Покупки
купівля навчальних матеріалів,Освіта
бензин,Транспорт
автобус,Транспорт
кіно,Розваги
купив підручник,Освіта
театр,Розваги
оплата інтернет,Комунальні послуги
нові кросівки,Покупки
концерт,Розваги
замовлення доставки,Їжа
квиток на поїзд,Транспорт
покупка книги,Покупки
концерт,Розваги
масаж,Здоров'я
купив підручник,Освіта
обід у ресторані,Їжа
оплата електроенергії,Комунальні послуги
візит до лікаря,Здоров'я
купив техніку,Покупки
поїздка на вихідні,Розваги
покупка книги,Покупки
покупка продуктів,Їжа
обід у ресторані,Їжа
вечеря,Їжа
масаж,Здоров'я
покупка продуктів,Їжа
кіно,Розваги
нові кросівки,Покупки
онлайн-курс,Освіта
вистава,Розваги
вода,Комунальні послуги
купив підручник,Освіта
нові кросівки,Покупки
купив одяг,Покупки
автобус,Транспорт
поїздка на вихідні,Розваги
метро,Транспорт
кава,Їжа
лікування зубів,Здоров'я
оплата газу,Комунальні послуги
лікування зубів,Здоров'я
оплата електроенергії,Комунальні послуги
автобус,Транспорт
концерт,Розваги
ліки,Здоров'я
онлайн-курс,Освіта
вода,Комунальні послуги
театр,Розваги
замовлення доставки,Їжа
купив техніку,Покупки
кіно,Розваги
кіно,Розваги
таксі,Транспорт
купив одяг,Покупки
аптека,Здоров'я
оплата курсів,Освіта
вистава,Розваги
лікування зубів,Здоров'я
масаж,Здоров'я
оплата курсів,Освіта
купив одяг,Покупки
сніданок у кафе,Їжа
оплата курсів,Освіта
шопінг,Покупки
нові кросівки,Покупки
онлайн-курс,Освіта
аксесуари,Покупки
кіно,Розваги
замовлення доставки,Їжа
оплата електроенергії,Комунальні послуги
автобус,Транспорт
сніданок у кафе,Їжа
вода,Комунальні послуги
покупка продуктів,Їжа
оплата телефону,Комунальні послуги
аксесуари,Покупки
репетитор,Освіта
оплата телефону,Комунальні послуги
оплата телефону,Комунальні послуги
оплата газу,Комунальні послуги
лікування зубів,Здоров'я
нові кросівки,Покупки
бензин,Транспорт
покупка книги,Покупки
покупка зошитів,Освіта
шопінг,Покупки
вода,Комунальні послуги
візит до лікаря,Здоров'я
концерт,Розваги
репетитор,Освіта
вода,Комунальні послуги
візит до лікаря,Здоров'я
аксесуари,Покупки
ліки,Здоров'я
замовлення доставки,Їжа
купив техніку,Покупки
замовлення доставки,Їжа
оплата інтернет,Комунальні послуги
масаж,Здоров'я
бензин,Транспорт
нові кросівки,Покупки
оплата електроенергії,Комунальні послуги
вечеря,Їжа
купив підручник,Освіта
оплата курсів,Освіта
купив вітаміни,Здоров'я
поїздка на автомобілі,Транспорт
театр,Розваги
концерт,Розваги
вода,Комунальні послуги
таксі,Транспорт
шопінг,Покупки
покупка зошитів,Освіта
поїздка на вихідні,Розваги
лікування зубів,Здоров'я
купив техніку,Покупки
автобус,Транспорт
нові кросівки,Покупки
обід у ресторані,Їжа
оплата інтернет,Комунальні послуги
оплата інтернет,Комунальні послуги
замовлення доставки,Їжа
вода,Комунальні послуги
поїздка на автомобілі,Транспорт
обід у ресторані,Їжа
оплата семінару,Освіта
театр,Розваги
оплата інтернет,Комунальні послуги
репетитор,Освіта
оплата телефону,Комунальні послуги
покупка зошитів,Освіта
оплата газу,Комунальні послуги
бензин,Транспорт
покупка зошитів,Освіта
вода,Комунальні послуги
шопінг,Покупки
сніданок у кафе,Їжа
бензин,Транспорт
масаж,Здоров'я
купив підручник,Освіта
квиток на поїзд,Транспорт
оплата телефону,Комунальні послуги
покупка книги,Покупки
покупка книги,Покупки
купівля навчальних матеріалів,Освіта
клуб,Розваги
